Cota;Afluencia;Defluencia;VazaoNatural;VazaoIncremental;VolumeUtil
733,59;0;59,16;43,8;0;59,16
733,63;0;59,65;21,39;0;59,65
733,69;0;60,4;20,89;0;60,4
733,71;0;60,65;20,09;0;60,65
733,74;0;61,02;19,36;0;61,02
733,74;0;61,02;18,51;0;61,02
733,81;0;61,89;17,78;0;61,89
733,91;0;63,15;36,18;0;63,15
733,96;0;63,78;21,78;0;63,78
734,05;0;64,95;29,01;0;64,95
734,12;0;65,87;28,3;0;65,87
734,19;0;66,8;30,48;0;66,8
734,24;0;67,46;26,62;0;67,46
734,32;0;68,52;24,32;0;68,52
734,34;0;68,79;24,46;0;68,79
734,37;0;69,19;20,5;0;69,19
734,44;0;70,12;19,58;0;70,12
734,42;0;69,86;21,15;0;69,86
734,42;0;69,86;28,09;0;69,86
734,62;0;72,53;51,59;0;72,53
734,66;0;73,07;22,1;0;73,07
734,71;0;73,74;23,34;0;73,74
734,76;0;74,42;23,49;0;74,42
734,82;0;75,23;22,3;0;75,23
734,85;0;75,63;21,19;0;75,63
734,87;0;75,9;16,13;0;75,9
734,87;0;75,9;39,63;0;75,9
735,05;0;78,34;33,44;0;78,34
735,09;0;78,88;29,18;0;78,88
735,17;0;79,97;28,6;0;79,97
735,22;0;80,65;27,61;0;80,65
735,28;0;81,47;26,12;0;81,47
735,34;0;82,29;21,47;0;82,29
735,35;0;82,43;20,21;0;82,43
735,35;0;82,43;16,9;0;82,43
735,38;0;82,84;13,95;0;82,84
735,39;0;82,97;16,36;0;82,97
735,4;0;83,11;17,3;0;83,11
735,45;0;83,79;25,24;0;83,79
735,54;0;85,03;40,05;0;85,03
735,61;0;85,99;35,36;0;85,99
735,68;0;86,95;29,4;0;86,95
735,69;0;87,09;24,54;0;87,09
735,7;0;87,23;20,98;0;87,23
735,71;0;87,37;15,63;0;87,37
735,7;0;87,23;14,52;0;87,23
735,7;0;87,23;16,48;0;87,23
735,69;0;87,09;15,31;0;87,09
735,73;0;87,64;13,88;0;87,64
735,72;0;87,5;15,04;0;87,5
735,71;0;87,37;14,99;0;87,37
735,71;0;87,37;11,85;0;87,37
735,7;0;87,23;15,48;0;87,23
735,69;0;87,09;19,88;0;87,09
735,74;0;87,78;21,71;0;87,78
735,8;0;88,6;24,68;0;88,6
735,83;0;89,02;25,92;0;89,02
735,87;0;89,57;26,55;0;89,57
735,88;0;89,71;25,84;0;89,71
735,94;0;90,54;26,92;0;90,54
735,98;0;91,09;25,17;0;91,09
736,03;0;91,79;28,17;0;91,79
736,04;0;91,92;26,43;0;91,92
736,1;0;92,75;32,61;0;92,75
736,18;0;93,86;38,01;0;93,86
736,2;0;94,14;20,42;0;94,14
736,2;0;94,14;14,69;0;94,14
736,18;0;93,86;14,2;0;93,86
736,15;0;93,45;13,96;0;93,45
736,13;0;93,17;13,24;0;93,17
736,09;0;92,62;14,41;0;92,62
736,05;0;92,06;13,59;0;92,06
736,07;0;92,34;13,68;0;92,34
736,06;0;92,2;11,51;0;92,2
736,02;0;91,64;10,85;0;91,64
736;0;91,37;9,71;0;91,37
735,98;0;91,09;12,63;0;91,09
735,96;0;90,81;15,51;0;90,81
736;0;91,37;18;0;91,37
736,04;0;91,92;19,18;0;91,92
736,06;0;92,2;19,14;0;92,2
736,06;0;92,2;16,72;0;92,2
736,04;0;91,92;13,62;0;91,92
736,04;0;91,92;10,9;0;91,92
736,03;0;91,79;10,34;0;91,79
736,01;0;91,51;11,52;0;91,51
736;0;91,37;13,08;0;91,37
736;0;91,37;13,84;0;91,37
736,03;0;91,79;14,7;0;91,79
736,03;0;91,79;15,22;0;91,79
736,02;0;91,64;13,9;0;91,64
736,02;0;91,64;11,84;0;91,64
736;0;91,37;10,46;0;91,37
735,99;0;91,23;10,38;0;91,23
735,97;0;90,95;11,66;0;90,95
735,96;0;90,81;13,62;0;90,81
735,98;0;91,09;14,12;0;91,09
735,99;0;91,23;15,36;0;91,23
735,99;0;91,23;15,48;0;91,23
735,99;0;91,23;13,12;0;91,23
735,98;0;91,09;11,22;0;91,09
735,96;0;90,81;10,67;0;90,81
735,94;0;90,54;10,15;0;90,54
735,93;0;90,4;8,75;0;90,4
735,92;0;90,26;9,13;0;90,26
735,89;0;89,85;9,81;0;89,85
735,88;0;89,71;9,81;0;89,71
735,87;0;89,57;9,21;0;89,57
735,86;0;89,43;10,59;0;89,43
735,84;0;89,16;10,19;0;89,16
735,83;0;89,02;10,07;0;89,02
735,81;0;88,74;9,95;0;88,74
735,8;0;88,6;9,96;0;88,6
735,79;0;88,47;9,26;0;88,47
735,77;0;88,19;9,32;0;88,19
735,77;0;88,19;9,42;0;88,19
735,74;0;87,78;10,16;0;87,78
735,72;0;87,5;10,06;0;87,5
735,72;0;87,5;10;0;87,5
735,7;0;87,23;9,78;0;87,23
735,68;0;86,95;9,12;0;86,95
735,66;0;86,68;7,86;0;86,68
735,64;0;86,4;7,33;0;86,4
735,61;0;85,99;6,75;0;85,99
735,57;0;85,44;6,32;0;85,44
735,55;0;85,17;5,67;0;85,17
735,52;0;84,76;6,9;0;84,76
735,49;0;84,34;8,14;0;84,34
735,5;0;84,48;10,05;0;84,48
735,49;0;84,34;12,33;0;84,34
735,49;0;84,34;13,53;0;84,34
735,5;0;84,48;11,65;0;84,48
735,49;0;84,34;12,15;0;84,34
735,46;0;83,93;11,43;0;83,93
735,46;0;83,93;8,93;0;83,93
735,45;0;83,79;8,57;0;83,79
735,42;0;83,38;8,52;0;83,38
735,41;0;83,25;6,7;0;83,25
735,39;0;82,97;6,76;0;82,97
735,37;0;82,7;7,04;0;82,7
735,37;0;82,7;6,36;0;82,7
735,35;0;82,43;6,5;0;82,43
735,32;0;82,02;7,69;0;82,02
735,3;0;81,74;8,15;0;81,74
735,31;0;81,88;9,25;0;81,88
735,32;0;82,02;9,67;0;82,02
735,32;0;82,02;10,68;0;82,02
735,31;0;81,88;9,52;0;81,88
735,31;0;81,88;8,38;0;81,88
735,29;0;81,61;7,15;0;81,61
735,28;0;81,47;7,45;0;81,47
735,26;0;81,2;6,94;0;81,2
735,25;0;81,06;7,2;0;81,06
735,24;0;80,92;6,77;0;80,92
735,22;0;80,65;6,87;0;80,65
735,2;0;80,38;6,04;0;80,38
735,18;0;80,11;5,48;0;80,11
735,16;0;79,84;6,85;0;79,84
735,14;0;79,57;7,87;0;79,57
735,15;0;79,7;7,94;0;79,7
735,15;0;79,7;9,26;0;79,7
735,13;0;79,43;9,25;0;79,43
735,13;0;79,43;8,25;0;79,43
735,11;0;79,16;7,12;0;79,16
735,1;0;79,02;8,78;0;79,02
735,08;0;78,75;8,17;0;78,75
735,09;0;78,88;9,15;0;78,88
735,08;0;78,75;8,24;0;78,75
735,08;0;78,75;8,38;0;78,75
735,06;0;78,48;6,65;0;78,48
735,04;0;78,2;6,07;0;78,2
735,02;0;77,93;5,67;0;77,93
735,02;0;77,93;7,28;0;77,93
735,01;0;77,79;8,38;0;77,79
734,99;0;77,53;11,58;0;77,53
735,17;0;79,97;62,68;0;79,97
735,28;0;81,47;43,98;0;81,47
735,34;0;82,29;29,78;0;82,29
735,41;0;83,25;26,84;0;83,25
735,43;0;83,52;18,56;0;83,52
735,4;0;83,11;14,71;0;83,11
735,4;0;83,11;9,33;0;83,11
735,4;0;83,11;8,59;0;83,11
735,39;0;82,97;8,51;0;82,97
735,4;0;83,11;8,59;0;83,11
735,38;0;82,84;9,13;0;82,84
735,37;0;82,7;12,71;0;82,7
